#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -1.150000   0.25482086E+00   0.33490107E+00   0.25193171E+00   0.84000895E-02   0.00000000E+00   0.41506025E-02   0.25164909E+00   0.49254109E-02
       -1.133333   0.26004184E+00   0.33625994E+00   0.25709247E+00   0.84768638E-02   0.00000000E+00   0.40535748E-02   0.25687142E+00   0.49664660E-02
       -1.116667   0.26518905E+00   0.33755298E+00   0.26218405E+00   0.85404330E-02   0.00000000E+00   0.39650917E-02   0.26203073E+00   0.50002580E-02
       -1.100000   0.27025153E+00   0.33878936E+00   0.26719643E+00   0.85899418E-02   0.00000000E+00   0.38846206E-02   0.26711627E+00   0.50262784E-02
       -1.083333   0.27521858E+00   0.33997771E+00   0.27211993E+00   0.86246132E-02   0.00000000E+00   0.38115096E-02   0.27211742E+00   0.50439807E-02
       -1.066667   0.28007994E+00   0.34112599E+00   0.27694543E+00   0.86437774E-02   0.00000000E+00   0.37450062E-02   0.27702379E+00   0.50527950E-02
       -1.050000   0.28482602E+00   0.34224145E+00   0.28166456E+00   0.86469045E-02   0.00000000E+00   0.36842851E-02   0.28182551E+00   0.50521533E-02
       -1.033333   0.28944808E+00   0.34333059E+00   0.28626984E+00   0.86336367E-02   0.00000000E+00   0.36284823E-02   0.28651337E+00   0.50415277E-02
       -1.016667   0.29393839E+00   0.34439909E+00   0.29075487E+00   0.86038201E-02   0.00000000E+00   0.35767330E-02   0.29107902E+00   0.50204785E-02
       -1.000000   0.29829039E+00   0.34545183E+00   0.29511435E+00   0.85575331E-02   0.00000000E+00   0.35282100E-02   0.29551512E+00   0.49887091E-02
       -0.983333   0.30249873E+00   0.34649290E+00   0.29934420E+00   0.84951092E-02   0.00000000E+00   0.34821585E-02   0.29981549E+00   0.49461243E-02
       -0.966667   0.30655936E+00   0.34752564E+00   0.30344160E+00   0.84171526E-02   0.00000000E+00   0.34379261E-02   0.30397521E+00   0.48928831E-02
